depth,density
20.700000000000003,573.3072766568602
20.8,582.2235270894963
20.900000000000002,578.8736154697518
21.0,576.1641757812531
21.1,574.8784875170825
21.200000000000003,578.9511640315989
21.3,583.999001969033
21.400000000000002,581.318310598062
21.5,584.092211328098
21.6,587.7531978617036
21.700000000000003,585.3370545822279
21.8,582.7669858077178
21.900000000000002,587.2540904010392
22.0,582.5294980374634
22.1,586.0398842291507
22.200000000000003,582.8504069631095
22.3,586.6418146617337
22.400000000000002,586.998904335244
22.5,584.288740031537
22.6,581.3447090606651
22.700000000000003,582.8195225350668
22.8,587.9700286218801
22.900000000000002,585.661249583647
23.0,584.6885560661887
23.1,591.9248976580881
23.200000000000003,588.883134506294
23.3,593.2378141095753
23.400000000000002,588.562392448438
23.5,589.8191454426718
23.6,593.6584020617323
